iter	Passed	Remaining
0	1	1332
1	1	804
2	1	621
3	2	523
4	2	467
5	2	427
6	2	408
7	3	390
8	3	370
9	3	356
10	3	349
11	4	338
12	4	329
13	4	321
14	4	316
15	5	310
16	5	305
17	5	299
18	5	294
19	5	291
20	6	288
21	6	284
22	6	285
23	6	281
24	7	278
25	7	275
26	7	272
27	7	266
28	7	266
29	8	266
30	8	264
31	8	262
32	8	260
33	9	258
34	9	257
35	9	255
36	9	254
37	9	252
38	10	250
39	10	249
40	10	245
41	10	244
42	10	243
43	11	243
44	11	242
45	11	241
46	11	240
47	12	239
48	12	239
49	12	238
50	12	237
51	12	236
52	13	236
53	13	235
54	13	234
55	13	233
56	14	233
57	14	232
58	14	231
59	14	231
60	15	231
61	15	230
62	15	230
63	15	230
64	16	230
65	16	229
66	16	229
67	16	228
68	16	228
69	17	228
70	17	228
71	17	227
72	17	227
73	18	227
74	18	227
75	18	227
76	18	226
77	19	226
78	19	226
79	19	225
80	19	226
81	20	226
82	20	226
83	20	226
84	21	226
85	21	226
86	21	225
87	21	225
88	21	224
89	22	224
90	22	223
91	22	223
92	22	222
93	23	223
94	23	223
95	23	223
96	23	222
97	24	222
98	24	221
99	24	221
100	24	220
101	25	220
102	25	220
103	25	219
104	25	219
105	25	218
106	26	218
107	26	218
108	26	218
109	26	217
110	27	217
111	27	217
112	27	216
113	27	216
114	28	215
115	28	215
116	28	214
117	28	214
118	28	213
119	29	213
120	29	213
121	29	212
122	29	212
123	30	212
124	30	211
125	30	211
126	30	210
127	30	210
128	31	210
129	31	209
130	31	209
131	31	209
132	32	209
133	32	208
134	32	207
135	32	207
136	32	207
137	33	206
138	33	206
139	33	206
140	33	206
141	34	206
142	34	205
143	34	206
144	34	206
145	35	205
146	35	205
147	35	204
148	35	204
149	36	204
150	36	203
151	36	203
152	36	203
153	36	202
154	37	202
155	37	202
156	37	202
157	37	201
158	38	201
159	38	201
160	38	200
161	38	201
162	39	201
163	39	200
164	39	200
165	39	200
166	40	200
167	40	199
168	40	199
169	40	199
170	41	198
171	41	198
172	41	198
173	41	197
174	41	197
175	42	197
176	42	197
177	42	196
178	42	196
179	43	196
180	43	195
181	43	195
182	43	195
183	43	194
184	44	194
185	44	194
186	44	193
187	44	193
188	45	193
189	45	193
190	45	193
191	45	192
192	46	192
193	46	192
194	46	191
195	46	191
196	46	191
197	47	191
198	47	190
199	47	190
200	47	190
201	48	190
202	48	189
203	48	189
204	48	189
205	49	189
206	49	188
207	49	188
208	49	188
209	50	188
210	50	187
211	50	187
212	50	187
213	50	187
214	51	186
215	51	186
216	51	186
217	51	185
218	52	185
219	52	185
220	52	185
221	52	184
222	52	184
223	53	184
224	53	183
225	53	183
226	53	183
227	54	183
228	54	182
229	54	182
230	54	182
231	54	181
232	55	181
233	55	181
234	55	180
235	55	180
236	56	180
237	56	180
238	56	180
239	56	179
240	56	179
241	57	179
242	57	179
243	57	178
244	57	178
245	58	178
246	58	177
247	58	177
248	58	177
249	59	177
250	59	176
251	59	176
252	59	176
253	59	176
254	60	175
255	60	175
256	60	175
257	60	175
258	61	174
259	61	174
260	61	174
261	61	174
262	62	174
263	62	173
264	62	173
265	62	173
266	63	173
267	63	173
268	63	172
269	63	172
270	64	172
271	64	172
272	64	172
273	64	172
274	65	171
275	65	171
276	65	171
277	65	170
278	66	170
279	66	170
280	66	170
281	66	169
282	66	169
283	67	169
284	67	169
285	67	168
286	67	168
287	68	168
288	68	168
289	68	167
290	68	167
291	68	167
292	69	166
293	69	166
294	69	166
295	69	166
296	70	165
297	70	165
298	70	165
299	70	165
300	71	165
301	71	164
302	71	164
303	71	164
304	72	164
305	72	163
306	72	163
307	72	163
308	72	163
309	73	162
310	73	162
311	73	162
312	73	162
313	74	161
314	74	161
315	74	161
316	74	161
317	75	161
318	75	160
319	75	160
320	75	160
321	75	159
